time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:09:18.066287;-0.07627685546875007;-0.5381542968750002;0.0;-0.005941162109374787;-0.48238403320312484;-0.0049829101562499645;
2024-09-08-01:09:18.068352;-0.03411376953124989;-0.47759277343749984;0.0;-0.005366210937499893;-0.48123413085937505;-0.0049829101562499645;
2024-09-08-01:09:18.070590;0.034880371093750195;-0.522247314453125;0.0;-0.004407958984375071;-0.4808508300781251;-0.005174560546874929;
2024-09-08-01:09:18.072661;0.06017822265624995;-0.5260803222656252;0.0;-0.0038330078125001776;-0.47989257812499986;-0.005174560546874929;
2024-09-08-01:09:18.074729;0.07378540039062509;-0.51247314453125;0.0;-0.003641357421875213;-0.4791259765625;-0.005366210937499893;
2024-09-08-01:09:18.077053;0.0992749023437498;-0.51477294921875;0.0;-0.0030664062499998757;-0.4777844238281248;-0.005557861328124858;
2024-09-08-01:09:18.078959;0.13338867187500014;-0.55846923828125;0.0;-0.0022998046875000178;-0.4772094726562499;-0.005749511718749822;
2024-09-08-01:09:18.081127;0.14335449218750007;-0.5738012695312502;0.0;-0.0019165039062500888;-0.476826171875;-0.005941162109374787;
2024-09-08-01:09:18.083202;0.13741333007812484;-0.558277587890625;0.0;-0.0013415527343751954;-0.47548461914062523;-0.006132812500000195;
2024-09-08-01:09:18.085339;0.1418212890624999;-0.5680517578125;0.0;-0.0007666015624998579;-0.474334716796875;-0.00632446289062516;
2024-09-08-01:09:18.087436;0.12763916015624988;-0.5810839843750002;0.0;-0.0005749511718748934;-0.47395141601562507;-0.006516113281250124;
2024-09-08-01:09:18.089583;0.08451782226562488;-0.5672851562500001;0.0;-0.0007666015624998579;-0.4726098632812499;-0.006707763671875089;
2024-09-08-01:09:18.091787;0.03603027343749998;-0.5400708007812498;0.0;-0.0011499023437497868;-0.47107666015625016;-0.006899414062500053;
2024-09-08-01:09:18.093857;0.010349121093749858;-0.531829833984375;0.0;-0.0015332031250001599;-0.4701184082031249;-0.006899414062500053;
